,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4,"0,009645","0,01398","0,017051",,,,,,,,,,,,,,,,"0,068293","0,069638","0,066333","0,065357","0,06813","0,066223","0,066173","0,067709","0,06649","0,063229",
Q5,"0,019296","0,01265","0,013597",,,,,,,,,,,,,,,,"0,017706","0,005589","0,005625","0,003525","0,005198","0,005198","0,044905","0,005486","0,005483","0,005095",
Q6,"0,007476","0,006784","0,008149",,,,,,,,,,,,,,,,"0,006074","0,003223","0,002324","0,002218","0,002617","0,002865","0,002364","0,001755","0,002864","0,002066",
Q7,"0,012091","0,010192","0,01083",,,,,,,,,,,,,,,,"0,010111","0,008333","0,005438","0,005293","0,005743","0,004516","0,004801","0,005345","0,00534","0,004955",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PostgreSQL10000 entries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,"0,018146","0,009616","0,013209",,,,,,,,,,,,,,,,,,,,,,,,,,
Q2,"0,057897","0,043177","0,056987",,,,,,,,,,,,,,,,"0,134308","0,132875","0,14204","0,144434","0,1437","0,14748","0,141728","0,143766","0,137641","0,141646",
Q3,"0,065575","0,045235","0,045967",,,,,,,,,,,,,,,,"0,143759","0,117095","0,118831","0,113223","0,117051","0,115588","0,117461","0,115109","0,116539","0,112922",
Q4,"0,045861","0,036724","0,045133",,,,,,,,,,,,,,,,"0,112136","0,115494","0,11308","0,116823","0,11713","0,115759","0,116207","0,118944","0,117816","0,112789",
Q5,"0,030967","0,031795","0,024957",,,,,,,,,,,,,,,,"0,07872","0,074629","0,077582","0,077944","0,083866","0,075955","0,075029","0,078935","0,078927","0,079038",
Q6,"0,025711","0,006136","0,028963",,,,,,,,,,,,,,,,"0,031871","0,006177","0,004563","0,004604","0,005116","0,005432","0,000955","0,000736","0,000779",,
Q7,"0,021905","0,021757","0,023975",,,,,,,,,,,,,,,,"0,01158","0,025144","0,022667","0,015","0,01546","0,017919","0,020679","0,017917","0,016938","0,017753",
,,,,,,,,,,,,,,,,,,,"0,031067","0,031654","0,040696","0,025574","0,027756","0,032381","0,024327","0,032772","0,034031","0,030467",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PostgreSQL100000 entries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,"0,095819","0,064707","0,060848",,,,,,,,,,,,,,,,"1,195048","1,207043","1,20359","2,474317","2,434525","2,463889","2,493788","2,472084","2,483431","2,455502","1,21084"
Q2,"1,042209","0,997679","1,223696","1,036076",,,,,,,,,,,,,,,"0,000178","0,000175","0,000155","0,000153","0,000157","0,000156","0,00016","0,000141","0,000148","0,000238",
Q3,"1,208244","1,20747","1,06925",,,,,,,,,,,,,,,,"8,77608","8,785309","8,657096","8,763241","8,769843","8,790401","8,695006","8,775677","8,745027","8,626913",
Q4,"0,465543","0,46067","0,466024",,,,,,,,,,,,,,,,"5,371445","5,358318","5,345378","5,35107","5,364724","5,435126","5,395092","5,363585","5,408011","5,330971",
Q5,"0,012187","0,016615","0,01714",,,,,,,,,,,,,,,,"0,056083","0,051096","0,041519","0,046253","0,046195","0,058389","0,048294","0,041086","0,058825","0,059781",
Q6,"0,026317","0,026729","0,018607",,,,,,,,,,,,,,,,"0,048895","0,054356","0,047732","0,045143","0,054996","0,05223","0,046285","0,050558","0,04759","0,044222",
Q7,"0,011042","0,010603","0,019924",,,,,,,,,,,,,,,,"0,022501","0,020468","0,018236","0,007423","0,019886","0,031584","0,023739","0,021575","0,027871","0,023319",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post gres no index,Try 1 no index ,Try 2 no index ,Try 3 no index ,Avrage no index,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,"0,009878","0,009454","0,008217",,,,,,,,,,,,,,,,"0,011725","0,011185","0,007238","0,013002","0,01228","0,011031","0,011116","0,009948","0,013883","0,010606",
Q2,"0,030235","0,024278","0,025901",,,,,,,,,,,,,,,,"0,032672","0,031937","0,03008","0,03281","0,02708","0,030359","0,006948","0,028403","0,022899","0,029341",
Q3,"0,0255","0,030085","0,026016",,,,,,,,,,,,,,,,"0,030288","0,028961","0,027912","0,022808","0,033752","0,026507","0,030639","0,030998","0,023654","0,028818",
Q4,"0,021122","0,027404","0,028555",,,,,,,,,,,,,,,,"0,03072","0,02985","0,023966","0,024934","0,029349","0,033391","0,028381","0,026056","0,027901","0,026701",
Q5,"0,013361","0,015198","0,021119",,,,,,,,,,,,,,,,"0,037691","0,043742","0,040611","0,038068","0,037751","0,041665","0,035692","0,052281","0,045226","0,043773",
Q6,"0,01888","0,018888","0,021142",,,,,,,,,,,,,,,,"0,015805","0,013583","0,014913","0,016595","0,016526","0,011866","0,014593","0,017924","0,016198",,
Q7,"0,026448","0,028707","0,027393",,,,,,,,,,,,,,,,"0,007779","0,006073","0,00637","0,007233","0,005829","0,006753","0,006913","0,006485","0,005418","0,00828",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,"0,008874","0,011178","0,009157",,,,,,,,,,,,,,,,"0,038624","0,045998","0,045301","0,043985","0,045502","0,045433","0,047027","0,042954","0,045499","0,044034",
Q2,"0,020845","0,031888","0,0295",,,,,,,,,,,,,,,,"0,129899","0,130937","0,130282","0,132388","0,128984","0,132937","0,120753","0,124686","0,127234","0,132976",
Q3,"0,03418","0,022844","0,022008",,,,,,,,,,,,,,,,"0,131028","0,134375","0,121438","0,125514","0,134113","0,122824","0,131029","0,128074","0,131595","0,133222",
Q4,"0,018606","0,024376","0,02528",,,,,,,,,,,,,,,,"0,086666","0,083837","0,084768","0,080148","0,079116","0,087232","0,080656","0,079472","0,08557","0,092514",
Q5,"0,013344","0,018522","0,01666",,,,,,,,,,,,,,,,"0,056998","0,044831","0,043693","0,05139","0,052949","0,055713","0,052829","0,052126","0,05493","0,053275",
Q6,"0,014225","0,020596","0,017553",,,,,,,,,,,,,,,,"0,033261","0,020044","0,022705","0,022998","0,022326","0,019356","0,02231","0,020324","0,020837","0,020757",
Q7,"0,031288","0,029562","0,014874",,,,,,,,,,,,,,,,"0,035045","0,022268","0,01894","0,020812","0,023608","0,030581","0,006933","0,028041","0,025675","0,027394",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,"0,016953","0,015526","0,016005",,,,,,,,,,,,,,,,"0,132403","0,137906","0,142866","0,142943","0,142268","0,139335","0,143227","0,143903","0,143312","0,14332",
Q2,"0,058989","0,254038","0,106912",,,,,,,,,,,,,,,,"0,794861","0,78212","0,777961","0,809911","0,789718","0,784814","0,792323","0,793058","0,793702","0,782993",
Q3,"0,052791","0,050933","0,052388",,,,,,,,,,,,,,,,"0,797319","0,789408","0,797047","0,79017","0,786972","0,795607","0,790496","0,812297","0,78094","0,796343",
Q4,"0,057809","0,054721","0,05167",,,,,,,,,,,,,,,,"0,529397","0,535104","0,529568","0,521985","0,532228","0,546119","0,537721","0,531706","0,534684","0,535019",
Q5,"0,012496","0,018999","0,018589",,,,,,,,,,,,,,,,"0,01573","0,012544","0,011178","0,012652","0,012138","0,015891","0,015613","0,010504","0,012568","0,011132",
Q6,"0,014059","0,022307","0,020083",,,,,,,,,,,,,,,,"0,028939","0,021771","0,01806","0,019751","0,018882","0,022802","0,024476","0,02193","0,020877","0,020508",
Q7,"0,017661","0,030527","0,027199",,,,,,,,,,,,,,,,"0,029798","0,026399","0,029463","0,025693","0,028259","0,022824","0,024074","0,022319","0,033787","0,023943",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,"0,1694","0,056997","0,069957",,,,,,,,,,,,,,,,"1,207512","1,201926","1,22314","1,234455","1,236157","1,233987","1,228461","1,237138","1,239966","1,234935",
Q2,"2,229348","0,062749","2,41845",,,,,,,,,,,,,,,,"8,812479","8,650741","8,587363","8,532894","8,768171","8,688742","8,609647","8,759583","8,782902","8,652835",
Q3,"1,047636","1,21575","1,859404",,,,,,,,,,,,,,,,"8,63888","8,525843","8,740355","8,514254","8,711029","8,751634","8,687675","8,739837","8,842559","8,829692",
Q4,"0,95512","1,158278","1,104046",,,,,,,,,,,,,,,,"5,387613","5,372374","5,41147","5,330862","5,383408","5,377351","5,364837","5,332597","5,375094","5,340268",
Q5,"0,013915","0,013645","0,020477",,,,,,,,,,,,,,,,"0,056784","0,045295","0,0469","0,055909","0,046371","0,049411","0,051639","0,042788","0,046814","0,045023",
Q6,"0,036093","0,033828","0,038282",,,,,,,,,,,,,,,,"0,025394","0,019986","0,019979","0,020359","0,018822","0,022837","0,014747","0,02787","0,020826","0,022303",
Q7,"0,042117","0,039269","0,039354",,,,,,,,,,,,,,,,"0,027231","0,024433","0,028638","0,028917","0,026905","0,024697","0,021712","0,026719","0,027174","0,007625",
,,,,,,,,,,,Q1,,,,,,,,,,,,,,,,,,
Maria Indexed,,,,,,,,,,,MariaDB Indexed,MariaDB,PostgreSQL Indexed,PostgreSQL,,,,,,,,,,,,,,,
,Q1,Q2,Q3,Q4,Q5,Q6,Q7,,,1,"0,017","0,018","0,003","0,009",,,,,,,,,,,,,,,
1,"0,018","0,018","0,018","0,019","0,018","0,017","0,017",,,1000,"0,021","0,02","0,005","0,01",,,,,,,,,,,,,,,
1000,"0,021","0,036","0,033","0,029","0,02","0,02","0,017",,,10000,"0,028","0,027","0,02","0,016",,"0,053",,,,,,,,,,,,,
10000,"0,028","0,061","0,063","0,053","0,02","0,019","0,019",,,100000,"0,089","0,085","0,106","0,099",,"0,074",,,,,,,,,,,,,
100000,"0,089","0,518","0,46","0,308","0,021","0,019","0,019",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"0,018",,,,,,,,,,,,,,,,,,
Maria No-Index,,,,,,,,,,,Q2,,,,,,,,,,,,,,,,,,
,Q1,Q2,Q3,Q4,Q5,Q6,Q7,,,,MariaDB Indexed,MariaDB,PostgreSQL Indexed,PostgreSQL,,,,,,,,,,,,,,,
1,"0,018","0,019","0,062","0,015","0,018","0,017","0,034",,,1,"0,018","0,019","0,014","0,027",,,,,,,,,,,,,,,
1000,"0,02","0,024","0,025","0,022","0,02","0,018","0,02",,,1000,"0,036","0,024","0,021","0,027",,,,,,,,,,,,,,,
10000,"0,027","0,098","0,112","0,082","0,019","0,02","0,055",,,10000,"0,061","0,098","0,052","0,14",,,,,,,,,,,,,,,
100000,"0,085","0,504","0,602","0,375","0,02","0,018","0,072",,,100000,"0,518","0,531","1,07492","1,57",,"0,504",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PostgreSQL Indexed,,,,,,,,,,,Q3,,,,,,,,,,,,,,,,,,
,Q1,Q2,Q3,Q4,Q5,Q6,Q7,,,,MariaDB Indexed,MariaDB,PostgreSQL Indexed,PostgreSQL,,,,,,,,,,,,,,,
1,"0,003","0,014","0,017","0,012","0,016","0,006","0,011",,,1,"0,018","0,025","0,017","0,026",,,,,,,,,,,,,,,
1000,"0,005","0,021","0,021","0,014","0,015","0,007","0,011",,,1000,"0,033","0,062","0,021","0,027",,,,,,,,,,,,,,,
10000,"0,053","0,052","0,043","0,029","0,02","0,023","0,0165",#DIV/0!,,10000,"0,063","0,112","0,043","0,052",,,,,,,,,,,,,,,
100000,"0,074","1,07492","1,162","0,464","0,015","0,024","0,014",,,100000,"0,46","0,602","1,162","1,374",,,,,,,,,,,,,,,
,,,,,,,,,,,Q4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,MariaDB Indexed,MariaDB,PostgreSQL Indexed,PostgreSQL,,,,,,,,,,,,,,,
PostgreSQL Non-Index,,,,,,,,,,1,"0,019","0,015","0,012","0,023",,,,,,,,,,,,,,,
,Q1,Q2,Q3,Q4,Q5,Q6,Q7,,,1000,"0,029","0,022","0,014","0,026",,,,,,,,,,,,,,,
1,"0,009","0,027","0,027","0,026","0,017","0,02","0,028",,,10000,"0,053","0,082","0,029","0,055",,,,,,,,,,,,,,,
1000,"0,01","0,027","0,026","0,023","0,016","0,017","0,025",,,100000,"0,308","0,375","0,464","1,072",,,,,,,,,,,,,,,
10000,"0,016","0,14","0,052","0,055","0,017","0,019","0,025",,,,,,,,,,,,,,,,,,,,,,
100000,"0,099","1,57","1,374","1,072","0,016","0,036","0,04",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,MariaDB Indexed,MariaDB,PostgreSQL Indexed,PostgreSQL,,,,,,,,,,,,,,,
,,,,,,,,,,1,"0,018","0,018","0,015","0,015",,,,,,,,,,,,,,,
,,,,,,,,,,1000,"0,0195","0,019","0,017","0,016",,,,,,,,,,,,,,,
,,,,,,,,,,10000,"0,021","0,02","0,019","0,018",,,,,,,,,,,,,,,
,,,,,,,,,,100000,"0,024","0,021","0,023","0,021",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"0,024","0,021","0,021","0,023",,,,,,,,,,,,,,,
,,,,,,,,,,,"0,021",,"0,018","0,019",,,,,,,,,,,,,,,
,,,,,,,,,,,"0,02",,"0,016",,,,,,,,,,,,,,,,
,,,,,,,,,,,Q6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,MariaDB Indexed,MariaDB,PostgreSQL Indexed,PostgreSQL,,,,,,,,,,,,,,,
,,,,,,,,,,1,"0,017","0,017","0,006","0,017",,,,,,,,,,,,,,,
,,,,,,,,,,1000,"0,019","0,018","0,007","0,019",B55:O55,,,,,,,,,,,,,,
,,,,,,,,,,10000,"0,019","0,02","0,023","0,02",,,,,,,,,,,,,,,
,,,,,,,,,,100000,"0,02","0,021","0,024","0,036",,,,,,,,,,,,,,,
,,,,,,,,,,,Q7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,MariaDB Indexed,MariaDB,PostgreSQL Indexed,PostgreSQL,,,,,,,,,,,,,,,
,,,,,,,,,,1,"0,017","0,02","0,011","0,025",,,,,,,,,,,,,,,
,,,,,,,,,,1000,"0,017","0,034","0,011","0,025",,,,,,,,,,,,,,,
,,,,,,,,,,10000,"0,019","0,055","0,014","0,025",,,,,,,,,,,,,,,
,,,,,,,,,,100000,"0,019","0,072","0,0165","0,04",,,,,,,,,,,,,,,